384 22 6 232 2835 14.7 82
278 29.5 4 98 2135 16.6 78
41 14 8 318 4096 13 71
136 13 8 350 4699 14.5 74
122 24 4 121 2660 14 73
51 30 4 79 2074 19.5 71
79 26 4 96 2189 18 72
13 15 8 400 3761 9.5 70
358 24.2 6 146 2930 13.8 81
315 19.1 6 225 3381 18.7 80
103 11 8 400 4997 14 73
298 27.2 4 141 3190 24.8 79
162 18 6 225 3785 19 75
78 21 4 120 2979 19.5 72
58 25 4 97.5 2126 17 72
239 30.5 4 97 2190 14.1 77
324 44.3 4 90 2085 21.7 80
237 33.5 4 98 2075 15.9 77
280 19.8 6 200 2990 18.2 79
23 25 4 104 2375 17.5 70
303 37.3 4 91 2130 14.7 79
129 26 4 122 2451 16.5 74
132 16 6 250 3781 17 74
152 18 6 250 3459 16 75
55 27 4 97 1834 19 71
166 29 4 97 2171 16 75
268 30.9 4 105 2230 14.5 78
242 21.5 3 80 2720 13.5 77
317 29.8 4 134 2711 15.5 80
306 26.8 6 173 2700 12.9 79
337 25.8 4 156 2620 14.4 81
235 25.5 4 140 2755 15.8 77
52 30 4 88 2065 14.5 71
330 29.8 4 89 1845 15.3 80
164 20 8 262 3221 13.5 75
354 31.6 4 120 2635 18.3 81
383 26 4 156 2585 14.5 82
293 34.1 4 86 1975 15.2 79
292 31.9 4 89 1925 14 79
273 20.3 5 131 2830 15.9 78
382 38 6 262 3015 17 82
261 19.2 8 305 3425 13.2 78
222 15.5 8 318 4140 13.7 77
370 36 4 105 1980 15.3 82
345 37.7 4 89 2050 17.3 81
131 25 4 140 2542 17 74
167 23 4 140 2639 17 75
196 29 4 90 1937 14.2 76
157 16 8 318 4498 14.5 75
118 24 4 116 2158 15.5 73
39 14 8 400 4464 11.5 71
247 36.1 4 91 1800 16.4 78
221 17 8 260 4060 19 77
161 15 6 258 3730 19 75
119 20 4 114 2582 14 73
372 31 4 91 1970 17.6 82
59 23 4 97 2254 23.5 72
176 23 4 115 2694 15 75
64 15 8 318 4135 13.5 72
220 17.5 8 305 3880 12.5 77
