249 19.4 8 318 3735 13.2 78
210 16.5 6 168 3820 16.7 76
243 43.1 4 90 1985 21.5 78
344 37 4 85 1975 19.4 81
9 14 8 455 4425 10 70
202 29.5 4 97 1825 12.2 76
128 31 4 79 1950 19 74
302 31.8 4 85 2020 19.2 79
44 13 8 400 5140 12 71
229 15.5 8 350 4165 11.4 77
147 26 4 116 2246 14 74
5 17 8 302 3449 10.5 70
367 29 4 135 2525 16 82
296 25.4 5 183 3530 20.1 79
346 34.1 4 91 1985 16 81
82 23 4 120 2506 14.5 72
89 15 8 318 3777 12.5 73
61 21 4 122 2226 16.5 72
254 25.1 4 140 2720 15.4 78
71 19 3 70 2330 13.5 72
225 20.5 6 231 3425 16.9 77
198 20 6 225 3651 17.7 76
149 26 4 108 2391 15.5 74
46 22 4 140 2408 19 71
258 20.8 6 200 3070 16.7 78
348 34.4 4 98 2045 16.2 81
362 17.6 6 225 3465 16.6 81
182 25 4 116 2220 16.9 76
312 28 4 151 2678 16.5 80
69 12 8 350 4456 13.5 72
271 23.8 4 151 2855 17.6 78
366 31 4 112 2575 16.2 82
74 13 8 302 4294 16 72
88 14 8 302 4042 14.5 73
159 17 6 231 3907 21 75
32 25 4 113 2228 14 71
328 44.6 4 91 1850 13.8 80
135 16 8 302 4141 14 74
356 30.7 6 145 3160 19.6 81
31 28 4 140 2264 15.5 71
374 36 4 98 2125 17.3 82
57 24 4 113 2278 15.5 72
19 27 4 97 2130 14.5 70
29 9 8 304 4732 18.5 70
45 18 6 258 2962 13.5 71
180 33 4 91 1795 17.5 75
90 12 8 429 4952 11.5 73
227 18.5 6 250 3525 19 77
108 20 4 97 2279 19 73
186 17.5 8 305 4215 13 76
76 18 4 121 2933 14.5 72
145 28 4 90 2125 14.5 74
143 31 4 76 1649 16.5 74
1 18 8 307 3504 12 70
11 15 8 383 3563 10 70
56 26 4 91 1955 20.5 71
156 15 8 350 4440 14 75
20 26 4 97 1835 20.5 70
151 19 6 225 3264 16 75
355 28.1 4 141 3230 20.4 81
384 22 6 232 2835 14.7 82
278 29.5 4 98 2135 16.6 78
41 14 8 318 4096 13 71
136 13 8 350 4699 14.5 74
122 24 4 121 2660 14 73
51 30 4 79 2074 19.5 71
79 26 4 96 2189 18 72
13 15 8 400 3761 9.5 70
358 24.2 6 146 2930 13.8 81
315 19.1 6 225 3381 18.7 80
103 11 8 400 4997 14 73
298 27.2 4 141 3190 24.8 79
162 18 6 225 3785 19 75
78 21 4 120 2979 19.5 72
58 25 4 97.5 2126 17 72
239 30.5 4 97 2190 14.1 77
324 44.3 4 90 2085 21.7 80
237 33.5 4 98 2075 15.9 77
280 19.8 6 200 2990 18.2 79
23 25 4 104 2375 17.5 70
303 37.3 4 91 2130 14.7 79
129 26 4 122 2451 16.5 74
132 16 6 250 3781 17 74
152 18 6 250 3459 16 75
55 27 4 97 1834 19 71
166 29 4 97 2171 16 75
268 30.9 4 105 2230 14.5 78
242 21.5 3 80 2720 13.5 77
317 29.8 4 134 2711 15.5 80
306 26.8 6 173 2700 12.9 79
337 25.8 4 156 2620 14.4 81
235 25.5 4 140 2755 15.8 77
52 30 4 88 2065 14.5 71
330 29.8 4 89 1845 15.3 80
164 20 8 262 3221 13.5 75
354 31.6 4 120 2635 18.3 81
383 26 4 156 2585 14.5 82
293 34.1 4 86 1975 15.2 79
292 31.9 4 89 1925 14 79
273 20.3 5 131 2830 15.9 78
382 38 6 262 3015 17 82
261 19.2 8 305 3425 13.2 78
222 15.5 8 318 4140 13.7 77
370 36 4 105 1980 15.3 82
345 37.7 4 89 2050 17.3 81
131 25 4 140 2542 17 74
167 23 4 140 2639 17 75
196 29 4 90 1937 14.2 76
157 16 8 318 4498 14.5 75
118 24 4 116 2158 15.5 73
39 14 8 400 4464 11.5 71
247 36.1 4 91 1800 16.4 78
221 17 8 260 4060 19 77
161 15 6 258 3730 19 75
119 20 4 114 2582 14 73
372 31 4 91 1970 17.6 82
59 23 4 97 2254 23.5 72
176 23 4 115 2694 15 75
64 15 8 318 4135 13.5 72
220 17.5 8 305 3880 12.5 77
275 21.6 4 121 2795 15.7 78
252 20.5 6 200 3155 18.2 78
192 24 6 200 3012 17.6 76
240 22 6 146 2815 14.5 77
183 25 4 140 2572 14.9 76
333 35 4 122 2500 15.1 80
115 15 8 350 4082 13 73
26 10 8 360 4615 14 70
101 23 6 198 2904 16 73
322 27.9 4 156 2800 14.4 80
160 16 6 250 3897 18.5 75
67 11 8 429 4633 11 72
323 40.8 4 85 2110 19.2 80
360 26.6 8 350 3725 19 81
327 30 4 146 3250 21.8 80
391 28 4 120 2625 18.6 82
